BESTFIT,,MCC,FULLFIT,,MCC,REVEAL,,MCC,,BESTFIT,FULLFIT,REVEAL
1,Ecoli_14_1.sif,-0.0739221271,1,Ecoli_13_1.sif,0.1153132716,1,Ecoli_14_1.sif,-0.0739221271,1,0.0061174808,-0.0330683992,0.0061174808
1,Ecoli_12_1.sif,0.0259499648,1,Ecoli_12_1.sif,-0.0778498944,1,Ecoli_12_1.sif,0.0259499648,2,0.0209016953,0.0819998476,0.0209016953
1,Ecoli_11_1.sif,0.146301434,1,Ecoli_10_1.sif,-0.0914505435,1,Ecoli_11_1.sif,0.146301434,3,-0.0098680677,-0.0511108368,-0.0098680677
1,Ecoli_10_1.sif,-0.0842151921,1,Ecoli_11_1.sif,-0.1170411472,1,Ecoli_10_1.sif,-0.0842151921,4,-0.0074658739,0.0193205463,-0.0074658739
1,Ecoli_13_1.sif,0.0164733245,1,Ecoli_14_1.sif,0.0056863175,1,Ecoli_13_1.sif,0.0164733245,5,0.0155698068,0.000446849,0.0155698068
2,Ecoli_13_2.sif,-0.0893387873,2,Ecoli_11_2.sif,-0.1407195089,2,Ecoli_13_2.sif,-0.0893387873,6,0.0192398882,-0.0644871124,0.0038315558
2,Ecoli_10_2.sif,-0.0563905798,2,Ecoli_14_2.sif,0.1952225462,2,Ecoli_10_2.sif,-0.0563905798,7,-0.0081207235,0.0061395975,-0.0081207235
2,Ecoli_12_2.sif,0.269679945,2,Ecoli_13_2.sif,0.2096268216,2,Ecoli_12_2.sif,0.269679945,8,0.0041652353,0.0536816541,0.0041652353
2,Ecoli_11_2.sif,-0.0732094939,2,Ecoli_10_2.sif,-0.0563905798,2,Ecoli_11_2.sif,-0.0732094939,9,-0.0009139365,0.0284577787,-0.0009139365
2,Ecoli_14_2.sif,0.0537673926,2,Ecoli_12_2.sif,0.2022599587,2,Ecoli_14_2.sif,0.0537673926,,,,
3,Ecoli_12_3.sif,0.0247953378,3,Ecoli_12_3.sif,-0.0983263396,3,Ecoli_12_3.sif,0.0247953378,,,,
3,Ecoli_14_3.sif,-0.033221593,3,Ecoli_10_3.sif,-0.1008712554,3,Ecoli_14_3.sif,-0.033221593,,,,
3,Ecoli_13_3.sif,0.007152629,3,Ecoli_13_3.sif,-0.0476237721,3,Ecoli_13_3.sif,0.007152629,,,,
3,Ecoli_11_3.sif,-0.0278924611,3,Ecoli_14_3.sif,-0.033221593,3,Ecoli_11_3.sif,-0.0278924611,,,,
3,Ecoli_10_3.sif,-0.0201742511,3,Ecoli_11_3.sif,0.024488776,3,Ecoli_10_3.sif,-0.0201742511,,,,
4,Ecoli_10_4.sif,0.1340334184,4,Ecoli_11_4.sif,0.0733586874,4,Ecoli_10_4.sif,0.1340334184,,,,
4,Ecoli_14_4.sif,-0.0425827195,4,Ecoli_10_4.sif,0.0853336367,4,Ecoli_14_4.sif,-0.0425827195,,,,
4,Ecoli_13_4.sif,-0.0271980429,4,Ecoli_14_4.sif,-0.0425827195,4,Ecoli_13_4.sif,-0.0271980429,,,,
4,Ecoli_11_4.sif,0.0137855251,4,Ecoli_12_4.sif,0.00769117,4,Ecoli_11_4.sif,0.0137855251,,,,
4,Ecoli_12_4.sif,-0.1153675504,4,Ecoli_13_4.sif,-0.0271980429,4,Ecoli_12_4.sif,-0.1153675504,,,,
5,Ecoli_13_5.sif,0.1181795213,5,Ecoli_10_5.sif,-0.0640020481,5,Ecoli_13_5.sif,0.1181795213,,,,
5,Ecoli_11_5.sif,0.1076763804,5,Ecoli_12_5.sif,-0.0762573721,5,Ecoli_11_5.sif,0.1076763804,,,,
5,Ecoli_12_5.sif,-0.1451507727,5,Ecoli_14_5.sif,-0.0241402275,5,Ecoli_12_5.sif,-0.1451507727,,,,
5,Ecoli_14_5.sif,-0.0544271574,5,Ecoli_13_5.sif,0.1181795213,5,Ecoli_14_5.sif,-0.0544271574,,,,
5,Ecoli_10_5.sif,0.0515710623,5,Ecoli_11_5.sif,0.0484543712,5,Ecoli_10_5.sif,0.0515710623,,,,
6,Ecoli_12_6.sif,0.0622481672,6,Ecoli_10_6.sif,0.0066680004,6,Ecoli_12_6.sif,0.0622481672,,,,
6,Ecoli_10_6.sif,0.0066680004,6,Ecoli_12_6.sif,-0.0181628067,6,Ecoli_10_6.sif,0.0066680004,,,,
6,Ecoli_13_6.sif,0.1129639572,6,Ecoli_11_6.sif,-0.1582030816,6,Ecoli_13_6.sif,0.1129639572,,,,
6,Ecoli_14_6.sif,-0.0120704571,6,Ecoli_13_6.sif,-0.1109763216,6,Ecoli_14_6.sif,-0.0120704571,,,,
6,Ecoli_11_6.sif,-0.0736102266,6,Ecoli_14_6.sif,-0.0417613525,6,Ecoli_11_6.sif,-0.0736102266,,,,
7,Ecoli_10_7.sif,-0.0732101062,7,Ecoli_14_7.sif,-0.009929336,7,Ecoli_10_7.sif,-0.0732101062,,,,
7,Ecoli_13_7.sif,0.0291666667,7,Ecoli_11_7.sif,0.0378095415,7,Ecoli_13_7.sif,0.0291666667,,,,
7,Ecoli_12_7.sif,-0.066733892,7,Ecoli_10_7.sif,0.0063165384,7,Ecoli_12_7.sif,-0.066733892,,,,
7,Ecoli_14_7.sif,0.0072766237,7,Ecoli_13_7.sif,-0.0951661903,7,Ecoli_14_7.sif,0.0072766237,,,,
7,Ecoli_11_7.sif,0.0628970902,7,Ecoli_12_7.sif,0.091667434,7,Ecoli_11_7.sif,0.0628970902,,,,
8,Ecoli_10_8.sif,0.0174714139,8,Ecoli_11_8.sif,0.085183542,8,Ecoli_10_8.sif,0.0174714139,,,,
8,Ecoli_12_8.sif,-0.0967558894,8,Ecoli_10_8.sif,0.0416666667,8,Ecoli_12_8.sif,-0.0967558894,,,,
8,Ecoli_11_8.sif,0.085183542,8,Ecoli_13_8.sif,0.1055659396,8,Ecoli_11_8.sif,0.085183542,,,,
8,Ecoli_14_8.sif,-0.0906388297,8,Ecoli_14_8.sif,0.1327480115,8,Ecoli_14_8.sif,-0.0906388297,,,,
8,Ecoli_13_8.sif,0.1055659396,8,Ecoli_12_8.sif,-0.0967558894,8,Ecoli_13_8.sif,0.1055659396,,,,
9,Ecoli_11_9.sif,0.0252136453,9,Ecoli_10_9.sif,0.1793376737,9,Ecoli_11_9.sif,0.0252136453,,,,
9,Ecoli_13_9.sif,-0.0672876232,9,Ecoli_13_9.sif,0.0286753162,9,Ecoli_13_9.sif,-0.0672876232,,,,
9,Ecoli_14_9.sif,-0.0449820458,9,Ecoli_11_9.sif,-0.0252136453,9,Ecoli_14_9.sif,-0.0449820458,,,,
9,Ecoli_12_9.sif,-0.0843643454,9,Ecoli_14_9.sif,0.0245759402,9,Ecoli_12_9.sif,-0.0843643454,,,,
9,Ecoli_10_9.sif,0.1668506864,9,Ecoli_12_9.sif,-0.0650863913,9,Ecoli_10_9.sif,0.1668506864,,,,
